ID,Sale_Price,Overall_Cond,Area_SF,Value_SF
1,215000,Average,Bsmt_Unf_SF,441
1,215000,Average,Total_Bsmt_SF,1080
1,215000,Average,First_Flr_SF,1656
1,215000,Average,Second_Flr_SF,0
1,215000,Average,Wood_Deck_SF,210
1,215000,Average,Open_Porch_SF,62
2,105000,Above_Average,Bsmt_Unf_SF,270
2,105000,Above_Average,Total_Bsmt_SF,882
2,105000,Above_Average,First_Flr_SF,896
2,105000,Above_Average,Second_Flr_SF,0
2,105000,Above_Average,Wood_Deck_SF,140
2,105000,Above_Average,Open_Porch_SF,0
3,172000,Above_Average,Bsmt_Unf_SF,406
3,172000,Above_Average,Total_Bsmt_SF,1329
3,172000,Above_Average,First_Flr_SF,1329
3,172000,Above_Average,Second_Flr_SF,0
3,172000,Above_Average,Wood_Deck_SF,393
3,172000,Above_Average,Open_Porch_SF,36
4,244000,Average,Bsmt_Unf_SF,1045
4,244000,Average,Total_Bsmt_SF,2110
4,244000,Average,First_Flr_SF,2110
4,244000,Average,Second_Flr_SF,0
4,244000,Average,Wood_Deck_SF,0
4,244000,Average,Open_Porch_SF,0
5,189900,Average,Bsmt_Unf_SF,137
5,189900,Average,Total_Bsmt_SF,928
5,189900,Average,First_Flr_SF,928
5,189900,Average,Second_Flr_SF,701
5,189900,Average,Wood_Deck_SF,212
5,189900,Average,Open_Porch_SF,34
6,195500,Above_Average,Bsmt_Unf_SF,324
6,195500,Above_Average,Total_Bsmt_SF,926
6,195500,Above_Average,First_Flr_SF,926
6,195500,Above_Average,Second_Flr_SF,678
6,195500,Above_Average,Wood_Deck_SF,360
6,195500,Above_Average,Open_Porch_SF,36
7,213500,Average,Bsmt_Unf_SF,722
7,213500,Average,Total_Bsmt_SF,1338
7,213500,Average,First_Flr_SF,1338
7,213500,Average,Second_Flr_SF,0
7,213500,Average,Wood_Deck_SF,0
7,213500,Average,Open_Porch_SF,0
8,191500,Average,Bsmt_Unf_SF,1017
8,191500,Average,Total_Bsmt_SF,1280
8,191500,Average,First_Flr_SF,1280
8,191500,Average,Second_Flr_SF,0
8,191500,Average,Wood_Deck_SF,0
8,191500,Average,Open_Porch_SF,82
9,236500,Average,Bsmt_Unf_SF,415
9,236500,Average,Total_Bsmt_SF,1595
9,236500,Average,First_Flr_SF,1616
9,236500,Average,Second_Flr_SF,0
